h3_cell,listing_count,unlicensed_rate,mean_price,coef_bw30,coef_bw60,coef_bw101,sig_bw30,sig_bw60,sig_bw101
881ec902edfffff,7,0.7142857142857143,4504.714285714285,0.07930640974877758,-0.058583196934662414,-0.0916637128810838,0,0,1
881ec90341fffff,23,0.13043478260869565,4257.521739130435,-0.024713399775884992,-0.06362027805934944,-0.09045166777533564,0,0,0
881ec90345fffff,22,0.18181818181818182,5168.5,-0.04035885991787774,-0.0493815880417624,-0.0865582105200896,0,0,0
881ec90349fffff,10,0.8,4057.0,-0.015475223138583433,-0.06618733008969935,-0.09373347401858012,0,0,0
881ec9034dfffff,7,0.42857142857142855,2850.1428571428573,-0.036682832967453616,-0.05003648805179739,-0.08863397736919454,0,0,0
881ec90401fffff,6,0.3333333333333333,4885.666666666667,-0.11838143800841432,-0.22522377040756741,-0.21125034592753666,0,1,1
881ec90431fffff,6,0.5,2169.6666666666665,-0.1566148970927989,-0.2354399682631069,-0.21410233159254866,1,1,1
881ec90463fffff,5,0.4,1863.8,-0.14855339691406172,-0.22369228075989459,-0.20890643452511798,1,1,1
881ec90467fffff,6,0.8333333333333334,3034.1666666666665,-0.16439789458001014,-0.22697997059793126,-0.2087067225974118,1,1,1
881ec904b7fffff,5,0.8,1754.8,-0.22144660946748593,-0.2454246900297672,-0.2215435643531924,1,1,1
881ec90521fffff,21,0.19047619047619047,6574.428571428572,-0.35922413710772644,-0.2659806837095876,-0.21322341389788688,1,1,1
881ec90529fffff,67,0.11940298507462686,3329.7462686567164,-0.34579868658530144,-0.26230687503647515,-0.21151143061385616,1,1,1
881ec9052bfffff,22,0.045454545454545456,4903.181818181818,-0.34220112557357496,-0.26077590785055804,-0.21238473361065158,1,1,1
881ec9052dfffff,5,0.2,4831.4,-0.36612728105778514,-0.26797925732810984,-0.21272088531174324,1,1,1
881ec90559fffff,10,0.5,2144.1,-0.20327813799099,-0.2334404077045016,-0.20756486030951238,1,1,1
881ec905c1fffff,7,0.2857142857142857,3869.0,-0.18645047061234288,-0.24080088906758368,-0.2155020259650567,1,1,1
881ec905c9fffff,15,0.5333333333333333,2812.9333333333334,-0.1798610653847159,-0.23808115884695336,-0.21423559501219797,1,1,1
881ec905d1fffff,11,0.18181818181818182,2359.6363636363635,-0.1940978119697901,-0.24149086446843854,-0.21694347369328001,1,1,1
881ec905d3fffff,10,0.3,3388.9,-0.20210386613892684,-0.24251944884173104,-0.21770180363656647,1,1,1
881ec905dbfffff,6,0.3333333333333333,1714.6666666666667,-0.19341065118952672,-0.24084092979358634,-0.21690450272474499,1,1,1
881ec905ddfffff,8,0.375,3011.875,-0.1843872526995682,-0.2403856572588307,-0.2161172097373774,1,1,1
881ec906b1fffff,6,0.6666666666666666,2448.3333333333335,-0.2085747297954363,-0.23220734632919976,-0.21868588302440958,1,1,1
881ec90701fffff,7,0.2857142857142857,1670.2857142857142,-0.16178744743888984,-0.20743155625830884,-0.19645467007613193,1,1,1
881ec90707fffff,6,0.8333333333333334,2284.5,-0.1620725505407031,-0.20823881503931907,-0.19903271362277228,1,1,1
881ec9070dfffff,6,0.6666666666666666,1934.5,-0.1430031595505178,-0.20735414401904056,-0.19274973510443733,1,1,1
881ec90723fffff,6,0.16666666666666666,2147.3333333333335,-0.16547663004483323,-0.22367095294263736,-0.20231533885992212,1,1,1
881ec9072bfffff,7,0.42857142857142855,1675.2857142857142,-0.16292905914607597,-0.2094098957655581,-0.19830420583646233,1,1,1
881ec90733fffff,17,0.29411764705882354,3154.470588235294,-0.16141064078077738,-0.22841361697797644,-0.20554914054410006,1,1,1
881ec90739fffff,12,0.5,1995.5,-0.1590106234559234,-0.21681662930163048,-0.2020012929817509,1,1,1
881ec9073dfffff,6,1.0,1281.0,-0.15898083417663414,-0.21967649770487568,-0.202156416404,1,1,1
881ec90741fffff,5,0.6,1518.2,-0.23062508610517807,-0.21630674374046854,-0.18541966491510548,1,1,1
881ec9074bfffff,5,1.0,774.8,-0.24826637113115338,-0.22615096886636865,-0.18891816982817883,1,1,1
881ec90759fffff,10,0.5,2466.1,-0.2483639901038815,-0.2289522105383242,-0.19770428013944255,1,1,1
881ec90761fffff,16,0.625,2330.9375,-0.11037796740077155,-0.18943946677032547,-0.18313477691579785,0,1,1
881ec90763fffff,8,0.875,1297.0,-0.13586352102401508,-0.19790762588055752,-0.19088882640605517,1,1,1
881ec90769fffff,21,0.5238095238095238,2566.095238095238,-0.09733994165479695,-0.18928000056761535,-0.17765027197524308,0,1,1
881ec9076bfffff,5,1.0,1479.2,-0.12638296090821838,-0.2027941119611381,-0.18617930823380785,0,1,1
881ec9076dfffff,10,0.4,4484.0,-0.09847423664712347,-0.16927779306510177,-0.17326188503960777,0,1,1
